"Pro Git","","","","","10.1007/978-1-4842-0076-6","Scott ChaconBen Straub","2014","http://link.springer.com/book/10.1007/978-1-4842-0076-6","Book"
"Policy-Oriented Technology Assessment Across Europe: Expanding Capacities","","","","","10.1007/978-1-137-56172-5","Lars KlüverRasmus Øjvind NielsenMarie Louise Jørgensen","2016","http://link.springer.com/book/10.1007/978-1-137-56172-5","Book"
"Managing Risk and Information Security","","","","","10.1007/978-1-4302-5114-9","Malcolm Harkins","2013","http://link.springer.com/book/10.1007/978-1-4302-5114-9","Book"
"Learn BlackBerry 10 App Development","","","","","10.1007/978-1-4302-6158-2","Anwar Ludin","2014","http://link.springer.com/book/10.1007/978-1-4302-6158-2","Book"
"Subject-Oriented Business Process Management","","","","","10.1007/978-3-642-32392-8","Albert FleischmannWerner SchmidtChristian StaryStefan ObermeierEgon Börger","2012","http://link.springer.com/book/10.1007/978-3-642-32392-8","Book"
"Programming Persistent Memory","","","","","10.1007/978-1-4842-4932-1","Steve Scargall","2020","http://link.springer.com/book/10.1007/978-1-4842-4932-1","Book"
"The Future of Software Quality Assurance","","","","","10.1007/978-3-030-29509-7","Stephan Goericke","2020","http://link.springer.com/book/10.1007/978-3-030-29509-7","Book"
"Android on x86","","","","","10.1007/978-1-4302-6131-5","Iggy KrajciDarren Cummings","2013","http://link.springer.com/book/10.1007/978-1-4302-6131-5","Book"
"Managing Risk and Information Security","","","","","10.1007/978-1-4842-1455-8","Malcolm W. Harkins","2016","http://link.springer.com/book/10.1007/978-1-4842-1455-8","Book"
"Foundations of Software Science and Computation Structures","Lecture Notes in Computer Science","","","","10.1007/978-3-030-17127-8","Prof. Mikołaj BojańczykProf. Dr. Alex Simpson","2019","http://link.springer.com/book/10.1007/978-3-030-17127-8","Book"
"Platform Embedded Security Technology Revealed","","","","","10.1007/978-1-4302-6572-6","Xiaoyu Ruan","2014","http://link.springer.com/book/10.1007/978-1-4302-6572-6","Book"
"Entity-Oriented Search","The Information Retrieval Series","","","","10.1007/978-3-319-93935-3","Krisztian Balog","2018","http://link.springer.com/book/10.1007/978-3-319-93935-3","Book"
"Intelligent Human Computer Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-319-72038-8","Patrick HorainCatherine AchardMalik Mallem","2017","http://link.springer.com/book/10.1007/978-3-319-72038-8","Book"
"Anti-fragile ICT Systems","Simula SpringerBriefs on Computing","","","","10.1007/978-3-319-30070-2","Kjell Jørgen Hole","2016","http://link.springer.com/book/10.1007/978-3-319-30070-2","Book"
"Computer and Information Sciences","Communications in Computer and Information Science","","","","10.1007/978-3-319-47217-1","Tadeusz CzachórskiErol GelenbeKrzysztof GrochlaRicardo Lent","2016","http://link.springer.com/book/10.1007/978-3-319-47217-1","Book"
"Principles of Security and Trust","Lecture Notes in Computer Science","","","","10.1007/978-3-030-17138-4","Prof. Flemming NielsonDr. David Sands","2019","http://link.springer.com/book/10.1007/978-3-030-17138-4","Book"
