"Higher Education in the Era of the Fourth Industrial Revolution","","","","","10.1007/978-981-13-0194-0","Nancy W. Gleason","2018","http://link.springer.com/book/10.1007/978-981-13-0194-0","Book"
"The Proceedings of the 12th International Congress on Mathematical Education","","","","","10.1007/978-3-319-12688-3","Sung Je Cho","2015","http://link.springer.com/book/10.1007/978-3-319-12688-3","Book"
"Computational Thinking Education","","","","","10.1007/978-981-13-6528-7","Siu-Cheung KongHarold Abelson","2019","http://link.springer.com/book/10.1007/978-981-13-6528-7","Book"
"Research Assessment in the Humanities","","","","","10.1007/978-3-319-29016-4","Michael OchsnerSven E. HugHans-Dieter Daniel","2016","http://link.springer.com/book/10.1007/978-3-319-29016-4","Book"
"Sustainability, Human Well-Being, and the Future of Education","","","","","10.1007/978-3-319-78580-6","Prof. Justin W. Cook","2019","http://link.springer.com/book/10.1007/978-3-319-78580-6","Book"
"Responsive Open Learning Environments","","","","","10.1007/978-3-319-02399-1","Sylvana KroopAlexander MikroyannidisMartin Wolpers","2015","http://link.springer.com/book/10.1007/978-3-319-02399-1","Book"
"The Crisis for Young People","","","","","10.1007/978-3-319-58547-5","Prof. Andy Green","2017","http://link.springer.com/book/10.1007/978-3-319-58547-5","Book"
"Instructional Scaffolding in STEM Education","","","","","10.1007/978-3-319-02565-0","Brian R. Belland","2017","http://link.springer.com/book/10.1007/978-3-319-02565-0","Book"
"Mergers and Alliances in Higher Education","","","","","10.1007/978-3-319-13135-1","Adrian CurajLuke GeorghiouJennifer Cassingena HarperEva Egron-Polak","2015","http://link.springer.com/book/10.1007/978-3-319-13135-1","Book"
"A Philosophy of Israel Education","","","","","10.1007/978-3-319-30779-4","Barry Chazan","2016","http://link.springer.com/book/10.1007/978-3-319-30779-4","Book"
"Becoming a World-Class University","","","","","10.1007/978-3-319-26380-9","Osama TayebAdnan ZahedJozef Ritzen","2016","http://link.springer.com/book/10.1007/978-3-319-26380-9","Book"
"Understanding China’s School Leadership","","","","","10.1007/978-981-15-0749-6","Daming Feng","2020","http://link.springer.com/book/10.1007/978-981-15-0749-6","Book"
"Berufliche Passagen im Lebenslauf","","","","","10.1007/978-3-658-10094-0","Kurt HäfeliMarkus P. NeuenschwanderStephan Schumann","2015","http://link.springer.com/book/10.1007/978-3-658-10094-0","Book"
"The Dynamics of Opportunity in America","","","","","10.1007/978-3-319-25991-8","Irwin KirschHenry Braun","2016","http://link.springer.com/book/10.1007/978-3-319-25991-8","Book"
"Talent Development in European Higher Education","","","","","10.1007/978-3-319-12919-8","Dr. Marca V.C. Wolfensberger","2015","http://link.springer.com/book/10.1007/978-3-319-12919-8","Book"
