"Solving the Powertrain Puzzle","","","","","10.1007/978-3-658-06430-3","Schaeffler Technologies GmbH & Co. KG","2014","http://link.springer.com/book/10.1007/978-3-658-06430-3","Book"
"Think Big, Start Small","","","","","10.1007/978-3-662-54997-1","Prof. Achim KampkerJürgen GerdesProf. Günther Schuh","2017","http://link.springer.com/book/10.1007/978-3-662-54997-1","Book"
"IUTAM","","","","","10.1007/978-3-319-31063-3","Peter EberhardStephen Juhasz","2016","http://link.springer.com/book/10.1007/978-3-319-31063-3","Book"
"Opening Science","","","","","10.1007/978-3-319-00026-8","Sönke BartlingSascha Friesike","2014","http://link.springer.com/book/10.1007/978-3-319-00026-8","Book"
"Autonomes Fahren","","","","","10.1007/978-3-662-45854-9","Markus MaurerJ. Christian GerdesBarbara LenzHermann Winner","2015","http://link.springer.com/book/10.1007/978-3-662-45854-9","Book"
"Handbook of Contact Mechanics","","","","","10.1007/978-3-662-58709-6","Prof. Dr. Valentin L. PopovMarkus HeßEmanuel Willert","2019","http://link.springer.com/book/10.1007/978-3-662-58709-6","Book"
"Bayesian Methods in the Search for MH370","SpringerBriefs in Electrical and Computer Engineering","","","","10.1007/978-981-10-0379-0","Sam DaveyNeil GordonIan HollandMark RuttenJason Williams","2016","http://link.springer.com/book/10.1007/978-981-10-0379-0","Book"
"Künstliche Intelligenz","","","","","10.1007/978-3-662-58042-4","Volker Wittpahl","2019","http://link.springer.com/book/10.1007/978-3-662-58042-4","Book"
"Autonome Shuttlebusse im ÖPNV","","","","","10.1007/978-3-662-59406-3","Prof. Andreas RienerDr. Alexandra AppelProf. Dr. Wolfgang DornerDr. Thomas HuberJan Christopher KolbProf. Dr. Harry Wagner","2020","http://link.springer.com/book/10.1007/978-3-662-59406-3","Book"
"Machine Learning for Cyber Physical Systems","Technologien für die intelligente Automation","","","","10.1007/978-3-662-58485-9","Prof. Dr. Jürgen BeyererDr. Christian KühnertProf. Dr. Oliver Niggemann","2019","http://link.springer.com/book/10.1007/978-3-662-58485-9","Book"
"Sonic Skills","","","","","10.1057/978-1-137-59829-5","Prof. Dr. Karin Bijsterveld","2019","http://link.springer.com/book/10.1057/978-1-137-59829-5","Book"
"Foundations of Trusted Autonomy","Studies in Systems, Decision and Control","","","","10.1007/978-3-319-64816-3","Hussein A. AbbassDr. Jason ScholzDr. Darryn J. Reid","2018","http://link.springer.com/book/10.1007/978-3-319-64816-3","Book"
"Kommunikation und Bildverarbeitung in der Automation","Technologien für die intelligente Automation","","","","10.1007/978-3-662-59895-5","Prof. Dr. Jürgen JasperneiteProf. Dr. Volker Lohweg","2020","http://link.springer.com/book/10.1007/978-3-662-59895-5","Book"
"Models, Methods and Tools for Product Service Design","SpringerBriefs in Applied Sciences and Technology","","","","10.1007/978-3-319-95849-1","Dr. Laura CattaneoProf. Sergio Terzi","2019","http://link.springer.com/book/10.1007/978-3-319-95849-1","Book"
"AVENUE21. Automatisierter und vernetzter Verkehr: Entwicklungen des urbanen Europa","","","","","10.1007/978-3-662-61283-5","Dr. Mathias MittereggerEmilia M. BruckAggelos SoteropoulosAndrea SticklerProf. Dr. Martin BergerProf. Dr. Jens S. DangschatProf. Rudolf ScheuvensIan Banerjee","2020","http://link.springer.com/book/10.1007/978-3-662-61283-5","Book"
"IMPROVE - Innovative Modelling Approaches for Production Systems to Raise Validatable Efficiency","Technologien für die intelligente Automation","","","","10.1007/978-3-662-57805-6","Prof. Dr. Oliver NiggemannDr. Peter Schüller","2018","http://link.springer.com/book/10.1007/978-3-662-57805-6","Book"
"Cold Micro Metal Forming","Lecture Notes in Production Engineering","","","","10.1007/978-3-030-11280-6","Prof. Dr. Frank VollertsenDr. Sybille FriedrichProf. Dr. Bernd KuhfußProf. Dr. Peter MaaßDr. Claus ThomyProf. Dr. Hans-Werner Zoch","2020","http://link.springer.com/book/10.1007/978-3-030-11280-6","Book"
"Exploring Resilience","SpringerBriefs in Applied Sciences and Technology","","","","10.1007/978-3-030-03189-3","Siri WiigBabette Fahlbruch","2019","http://link.springer.com/book/10.1007/978-3-030-03189-3","Book"
"Introduction to Permanent Plug and Abandonment of Wells","Ocean Engineering & Oceanography","","","","10.1007/978-3-030-39970-2","Assoc. Prof. Mahmoud KhalifehDr. Arild Saasen","2020","http://link.springer.com/book/10.1007/978-3-030-39970-2","Book"
