"Forensic Genetics in the Governance of Crime","","","","","10.1007/978-981-15-2429-5","Helena MachadoDr. Rafaela Granja","2020","http://link.springer.com/book/10.1007/978-981-15-2429-5","Book"
"Understanding Society and Natural Resources","","","","","10.1007/978-94-017-8959-2","Michael J. ManfredoJerry J. VaskeAndreas RechkemmerEsther A. Duke","2014","http://link.springer.com/book/10.1007/978-94-017-8959-2","Book"
"Autistic Community and the Neurodiversity Movement","","","","","10.1007/978-981-13-8437-0","Steven K. Kapp","2020","http://link.springer.com/book/10.1007/978-981-13-8437-0","Book"
"Pragmatic Philanthropy","","","","","10.1007/978-981-10-7119-5","Ruth A. ShapiroManisha MirchandaniHeesu Jang","2018","http://link.springer.com/book/10.1007/978-981-10-7119-5","Book"
"Junge Perspektiven der Türkeiforschung in Deutschland","","","","","10.1007/978-3-658-04324-7","Klaus KreiserRaoul MotikaUdo SteinbachCharlotte JoppienLudwig Schulz","2014","http://link.springer.com/book/10.1007/978-3-658-04324-7","Book"
"Grassroots Politics and Oil Culture in Venezuela","","","","","10.1007/978-3-319-59507-8","Iselin Åsedotter Strønen","2017","http://link.springer.com/book/10.1007/978-3-319-59507-8","Book"
"The Restless Compendium","","","","","10.1007/978-3-319-45264-7","Felicity CallardKimberley StainesJames Wilkes","2016","http://link.springer.com/book/10.1007/978-3-319-45264-7","Book"
"Care in Healthcare","","","","","10.1007/978-3-319-61291-1","Franziska KrauseJoachim Boldt","2018","http://link.springer.com/book/10.1007/978-3-319-61291-1","Book"
"Inter-group Relations and Migrant Integration in European Cities","IMISCOE Research Series","","","","10.1007/978-3-319-23096-2","Ferruccio PastoreIrene Ponzo","2016","http://link.springer.com/book/10.1007/978-3-319-23096-2","Book"
"Promoting Active Citizenship","","","","","10.1007/978-3-319-55381-8","Karl Henrik SivesindJo Saglie","2017","http://link.springer.com/book/10.1007/978-3-319-55381-8","Book"
"Weather & Climate Services for the Energy Industry","","","","","10.1007/978-3-319-68418-5","Prof. Alberto Troccoli","2018","http://link.springer.com/book/10.1007/978-3-319-68418-5","Book"
"Atlas of Challenges and Opportunities in European Neighbourhoods","","","","","10.1007/978-3-319-28521-4","Pierre BeckouchePierre BesnardHugues Pecout","2016","http://link.springer.com/book/10.1007/978-3-319-28521-4","Book"
"The Values of Independent Hip-Hop in the Post-Golden Era","","","","","10.1007/978-3-030-02481-9","Christopher Vito","2019","http://link.springer.com/book/10.1007/978-3-030-02481-9","Book"
"Energy Poverty","","","","","10.1007/978-3-319-69299-9","Stefan Bouzarovski","2018","http://link.springer.com/book/10.1007/978-3-319-69299-9","Book"
"Trade Unions on YouTube","","","","","10.1007/978-3-030-24914-4","Jenny JanssonKatrin Uba","2019","http://link.springer.com/book/10.1007/978-3-030-24914-4","Book"
"Conviviality at the Crossroads","","","","","10.1007/978-3-030-28979-9","Oscar HemerMaja Povrzanović FrykmanPer-Markku Ristilammi","2020","http://link.springer.com/book/10.1007/978-3-030-28979-9","Book"
"Knowledge and Networks","Knowledge and Space","","","","10.1007/978-3-319-45023-0","Johannes GlücklerEmmanuel LazegaIngmar Hammer","2017","http://link.springer.com/book/10.1007/978-3-319-45023-0","Book"
"Youth Transitions among Descendants of Turkish Immigrants in Amsterdam and Strasbourg:","IMISCOE Research Series","","","","10.1007/978-3-030-11790-0","Dr. Elif Keskiner","2019","http://link.springer.com/book/10.1007/978-3-030-11790-0","Book"
"Social Dynamics in Swiss Society","Life Course Research and Social Policies","","","","10.1007/978-3-319-89557-4","Dr. Robin TillmannDr. Marieke VoorpostelProf. Dr. Peter Farago","2018","http://link.springer.com/book/10.1007/978-3-319-89557-4","Book"
"Frauen und Männer in der zweiten Lebenshälfte","","","","","10.1007/978-3-658-25079-9","Dr. Claudia VogelDr. Markus WettsteinProf. Dr. Clemens Tesch-Römer","2019","http://link.springer.com/book/10.1007/978-3-658-25079-9","Book"
"The Everyday Life of an Algorithm","","","","","10.1007/978-3-030-00578-8","Dr. Daniel Neyland","2019","http://link.springer.com/book/10.1007/978-3-030-00578-8","Book"
"Constructing Roma Migrants","IMISCOE Research Series","","","","10.1007/978-3-030-11373-5","Tina MagazziniStefano Piemontese","2019","http://link.springer.com/book/10.1007/978-3-030-11373-5","Book"
